Platform,Function,Analyzer,Part No.,Description,Information
LaserGas II Single Path,Analog out,"111328 AuxBoard Unit, 1.Channel (Standard Unit), LG II/LGQ/LD",111328,"AuxBoard Unit, 1.Channel (Standard Unit), LG II/LGQ/LD",
LaserGas II Single Path,Analog out,"111329 AuxBoard Unit, 2 Channel, LG II/LGQ/LD",111329,"AuxBoard Unit, 2 Channel, LG II/LGQ/LD",
LaserGas II Single Path,Analog out,"110496 AuxBoard Unit, 3 Channel, LG II/LGQ/LD",110496,"AuxBoard Unit, 3 Channel, LG II/LGQ/LD",
LaserGas II Single Path,Tracking Cell,102158 Fixed Internal Sealed Cell (FISC) LGII SP,102158,Fixed Internal Sealed Cell (FISC) LGII SP,Fixed Internal Sealed Cell (Tracking cell)
LaserGas II Single Path,Customized Tuning,102384 Special tuning,102384,Special tuning,"NB! No discount, labour work only"
LaserGas II Single Path,Customized Tuning,106828 Expert tuning,106828,Expert tuning,"NB! No discount, labour work only"
LaserGas II Single Path,Customized Tuning,102416 Low pressure tuning,102416,Low pressure tuning,NB! Discount applies
LaserGas II Single Path,Dual Gas,"101100 Dual gas add‐on Temperatur as second gas, LGII",101100,"Dual gas add‐on Temperatur as second gas, LGII",
LaserGas II Compact,Analog out,"111328 AuxBoard Unit, 1.Channel (Standard Unit), LG II/LGQ/LD",111328,"AuxBoard Unit, 1.Channel (Standard Unit), LG II/LGQ/LD",
LaserGas II Compact,Analog out,"111329 AuxBoard Unit, 2 Channel, LG II/LGQ/LD",111329,"AuxBoard Unit, 2 Channel, LG II/LGQ/LD",
LaserGas II Compact,Analog out,"110496 AuxBoard Unit, 3 Channel, LG II/LGQ/LD",110496,"AuxBoard Unit, 3 Channel, LG II/LGQ/LD",
LaserGas II Compact,Customized Tuning,102384 Special tuning,102384,Special tuning,"NB! No discount, labour work only"
LaserGas II Compact,Customized Tuning,106828 Expert tuning,106828,Expert tuning,"NB! No discount, labour work only"
LaserGas II Compact,Customized Tuning,102416 Low pressure tuning,102416,Low pressure tuning,NB! Discount applies
LaserGas II Compact,Dual Gas,"101100 Dual gas add‐on Temperatur as second gas, LGII",101100,"Dual gas add‐on Temperatur as second gas, LGII",
LaserGas II Multipass,Analog out,"111328 AuxBoard Unit, 1.Channel (Standard Unit), LG II/LGQ/LD",111328,"AuxBoard Unit, 1.Channel (Standard Unit), LG II/LGQ/LD",
LaserGas II Multipass,Analog out,"111329 AuxBoard Unit, 2 Channel, LG II/LGQ/LD",111329,"AuxBoard Unit, 2 Channel, LG II/LGQ/LD",
LaserGas II Multipass,Analog out,"110496 AuxBoard Unit, 3 Channel, LG II/LGQ/LD",110496,"AuxBoard Unit, 3 Channel, LG II/LGQ/LD",
LaserGas II Multipass,Tracking Cell,111630 Fixed Internal sealed cell (FISC) LGII MP,111630,Fixed Internal sealed cell (FISC) LGII MP,"Only available for some gases, Contact NEO Monitors"
LaserGas II Multipass,Customized Tuning,102384 Special tuning,102384,Special tuning,"NB! No discount, labour work only"
LaserGas II Multipass,Customized Tuning,106828 Expert tuning,106828,Expert tuning,"NB! No discount, labour work only"
LaserGas II Multipass,Dual Gas,"101100 Dual gas add‐on Temperatur as second gas, LGII",101100,"Dual gas add‐on Temperatur as second gas, LGII",
LaserGas II Open Path,Analog out,"111328 AuxBoard Unit, 1.Channel (Standard Unit), LG II/LGQ/LD",111328,"AuxBoard Unit, 1.Channel (Standard Unit), LG II/LGQ/LD",
LaserGas II Open Path,Analog out,"111329 AuxBoard Unit, 2 Channel, LG II/LGQ/LD",111329,"AuxBoard Unit, 2 Channel, LG II/LGQ/LD",
LaserGas II Open Path,Analog out,"110496 AuxBoard Unit, 3 Channel, LG II/LGQ/LD",110496,"AuxBoard Unit, 3 Channel, LG II/LGQ/LD",
LaserGas II Open Path,Customized Tuning,102384 Special tuning,102384,Special tuning,"NB! No discount, labour work only"
LaserGas II Open Path,Customized Tuning,106828 Expert tuning,106828,Expert tuning,"NB! No discount, labour work only"
LaserGas II Open Path,Dual Gas,"101100 Dual gas add‐on Temperatur as second gas, LGII",101100,"Dual gas add‐on Temperatur as second gas, LGII",
LaserGas III Single Path,Cable for LaserGas III/LaserGas Q,110346 LaserGas III CSA housing with 10 m cabling,110346,LaserGas III CSA housing with 10 m cabling,
LaserGas III Single Path,Cable for LaserGas III/LaserGas Q,106939 LaserGas III housing with 10 m cabling,106939,LaserGas III housing with 10 m cabling,"2x10m cables, including connector box."
LaserGas III Single Path,Additional Connector box,107794 Additional Connector box ATEX/ IECEx zone 1 LG3,107794,Additional Connector box ATEX/ IECEx zone 1 LG3,"For long distances, extra connector box"
LaserGas III Single Path,Additional Connector box,109991 Additional Connector box CSA Version LG3  ,109991,Additional Connector box CSA Version LG3  ,"For long distances, extra connector box"
LaserGas III Single Path,Customized Tuning,102384 Special tuning,102384,Special tuning,"NB! No discount, labour work only"
LaserGas III Single Path,Customized Tuning,106828 Expert tuning,106828,Expert tuning,"NB! No discount, labour work only"
LaserGas III Single Path,Customized Tuning,101319 High Pressure tuning,101319,High Pressure tuning,NB! Discount applies
LaserGas III Single Path,Customized Tuning,102416 Low pressure tuning,102416,Low pressure tuning,NB! Discount applies
