Platform,Gas,Analyzer,Part No.,Description,Information,ListPrice
LaserGas II Single Path,NH3,100042 LaserGas II NH3 SP,100042,LaserGas II NH3 SP,,284900
LaserGas II Single Path,NH3,106078 LaserGas II NH3 SP ATEX/IECEx Ex-n,106078,LaserGas II NH3 SP ATEX/IECEx Ex-n,ATEX/IECEx Zone 2,299200
LaserGas II Single Path,NH3,106077 LaserGas II NH3 SP ATEX/IECEx Ex-p,106077,LaserGas II NH3 SP ATEX/IECEx Ex-p,ATEX/IECEx Zone 1,302500
LaserGas II Single Path,NH3,106132 LaserGas II NH3 SP CSA GP,106132,LaserGas II NH3 SP CSA GP,General purpose non-hazloc,288200
LaserGas II Single Path,NH3,106134 LaserGas II NH3 SP CSA Class I div 2,106134,LaserGas II NH3 SP CSA Class I div 2,Class I/Div 2,299200
LaserGas II Single Path,NH3,106434 LaserGas II NH3 SP TÜV/MCERTS,106434,LaserGas II NH3 SP TÜV/MCERTS,"Also available as Ex-n/Ex-p, contact NEO Monitors",305800
LaserGas II Single Path,NH3,105960 LaserGas II NH3 + H2O SP,105960,LaserGas II NH3 + H2O SP,,320100
LaserGas II Single Path,NH3,106107 LaserGas II NH3 + H2O SP ATEX/IECEx Ex-n,106107,LaserGas II NH3 + H2O SP ATEX/IECEx Ex-n,ATEX/IECEx Zone 2,334400
LaserGas II Single Path,NH3,106108 LaserGas II NH3 + H2O SP ATEX/IECEx Ex-p,106108,LaserGas II NH3 + H2O SP ATEX/IECEx Ex-p,ATEX/IECEx Zone 1,338800
LaserGas II Single Path,NH3,107611 LaserGas II NH3 + H2O SP TÜV/MCERTS,107611,LaserGas II NH3 + H2O SP TÜV/MCERTS,"Also available as Ex-n/Ex-p, contact NEO Monitors",341000
LaserGas II Single Path,NH3,108347 LaserGas II NH3 + H2O SP CSA GP,108347,LaserGas II NH3 + H2O SP CSA GP,General purpose non-hazloc,323400
LaserGas II Single Path,NH3,108348 LaserGas II NH3 + H2O SP CSA Class I div 2,108348,LaserGas II NH3 + H2O SP CSA Class I div 2,Class I/Div 2,334400
LaserGas II Single Path,O2,100650 LaserGas II O2 SP,100650,LaserGas II O2 SP,,166100
LaserGas II Single Path,O2,106058 LaserGas II O2 SP ATEX/IECEx Ex-n,106058,LaserGas II O2 SP ATEX/IECEx Ex-n,ATEX/IECEx Zone 2,180400
LaserGas II Single Path,O2,105894 LaserGas II O2 SP ATEX/IECEx Ex-p,105894,LaserGas II O2 SP ATEX/IECEx Ex-p,ATEX/IECEx Zone 1,183700
LaserGas II Single Path,O2,106097 LaserGas II O2 SP CSA GP,106097,LaserGas II O2 SP CSA GP,General purpose non-hazloc,169400
LaserGas II Single Path,O2,105902 LaserGas II O2 SP CSA Class I div 2,105902,LaserGas II O2 SP CSA Class I div 2,Class I/Div 2,180400
LaserGas II Single Path,O2,106026 LaserGas II O2 SP HT,106026,LaserGas II O2 SP HT,High temp appl. (T>700 °C),201300
LaserGas II Single Path,O2,106059 LaserGas II O2 SP HT ATEX/IECEx Ex-n,106059,LaserGas II O2 SP HT ATEX/IECEx Ex-n,"High temp appl. (T>700 °C), ATEX/IECEx Zone 2",215600
LaserGas II Single Path,O2,106060 LaserGas II O2 SP HT ATEX/IECEx Ex-p,106060,LaserGas II O2 SP HT ATEX/IECEx Ex-p,"High temp appl. (T>700 °C), ATEX/IECEx Zone 1",218900
LaserGas II Single Path,O2,106098 LaserGas II O2 SP HT CSA GP,106098,LaserGas II O2 SP HT CSA GP,"High temp appl. (T>700 °C), General purpose non-hazloc",204600
LaserGas II Single Path,O2,106101 LaserGas II O2 SP HT CSA Class I div 2,106101,LaserGas II O2 SP HT CSA Class I div 2,"High temp appl. (T>700 °C), Class I/Div 2",215600
LaserGas II Single Path,O2,108354 LaserGas II O2 SP HP,108354,LaserGas II O2 SP HP,High Pressure application,201300
LaserGas II Single Path,O2,107455 LaserGas II O2 SP HP ATEX/IECEx Ex-n,107455,LaserGas II O2 SP HP ATEX/IECEx Ex-n,"High Pressure application, ATEX/IECEx Zone 2",215600
LaserGas II Single Path,O2,107300 LaserGas II O2 SP HP ATEX/IECEx Ex-p,107300,LaserGas II O2 SP HP ATEX/IECEx Ex-p,"High Pressure application, ATEX/IECEx Zone 1",218900
LaserGas II Single Path,O2,107555 LaserGas II O2 SP HP CSA Class I div 2,107555,LaserGas II O2 SP HP CSA Class I div 2,"High Pressure application, Class I/Div 2",215600
LaserGas II Single Path,CO,100980 LaserGas II CO % SP,100980,LaserGas II CO % SP,,229900
LaserGas II Single Path,CO,106559 LaserGas II CO % SP ATEX/IECEx Ex-n,106559,LaserGas II CO % SP ATEX/IECEx Ex-n,ATEX/IECEx Zone 2,244200
LaserGas II Single Path,CO,106560 LaserGas II CO % SP ATEX/IECEx Ex-p,106560,LaserGas II CO % SP ATEX/IECEx Ex-p,ATEX/IECEx Zone 1,247500
LaserGas II Single Path,CO,108357 LaserGas II CO % SP CSA GP,108357,LaserGas II CO % SP CSA GP,General purpose non-hazloc,233200
LaserGas II Single Path,CO,108358 LaserGas II CO % SP CSA Class I div 2,108358,LaserGas II CO % SP CSA Class I div 2,Class I/Div 2,244200
LaserGas II Single Path,CO+CO2,105569 LaserGas II CO % + CO2 % SP,105569,LaserGas II CO % + CO2 % SP,,265100
LaserGas II Single Path,CO+CO2,106395 LaserGas II CO % + CO2 % SP ATEX/IECEx Ex-n,106395,LaserGas II CO % + CO2 % SP ATEX/IECEx Ex-n,ATEX/IECEx Zone 2,279400
LaserGas II Single Path,CO+CO2,106394 LaserGas II CO % + CO2 % SP ATEX/IECEx Ex-p,106394,LaserGas II CO % + CO2 % SP ATEX/IECEx Ex-p,ATEX/IECEx Zone 1,283800
LaserGas II Single Path,CO+CO2,108359 LaserGas II CO % + CO2 % CSA GP,108359,LaserGas II CO % + CO2 % CSA GP,General purpose non-hazloc,269500
LaserGas II Single Path,CO+CO2,108360 LaserGas II CO % + CO2 % SP CSA Class I div 2,108360,LaserGas II CO % + CO2 % SP CSA Class I div 2,Class I/Div 2,279400
LaserGas II Single Path,CO ppm,101320 LaserGas II CO ppm SP,101320,LaserGas II CO ppm SP,,283800
LaserGas II Single Path,CO ppm,106554 LaserGas II CO ppm SP ATEX/IECEx Ex-n,106554,LaserGas II CO ppm SP ATEX/IECEx Ex-n,ATEX/IECEx Zone 2,297000
LaserGas II Single Path,CO ppm,106550 LaserGas II CO ppm SP ATEX/IECEx Ex-p,106550,LaserGas II CO ppm SP ATEX/IECEx Ex-p,ATEX/IECEx Zone 1,301400
LaserGas II Single Path,CO ppm,106347 LaserGas II CO ppm SP CSA GP,106347,LaserGas II CO ppm SP CSA GP,General purpose non-hazloc,287100
LaserGas II Single Path,CO ppm,107126 LaserGas II CO ppm SP CSA Class I div 2,107126,LaserGas II CO ppm SP CSA Class I div 2,Class I/Div 2,297000
LaserGas II Single Path,CO ppm,106024 LaserGas II CO ppm SP HT,106024,LaserGas II CO ppm SP HT,High temp appl. (T>700 °C),319000
LaserGas II Single Path,CO ppm,106556 LaserGas II CO ppm SP HT ATEX/IECEx Ex-n,106556,LaserGas II CO ppm SP HT ATEX/IECEx Ex-n,"High temp appl. (T>700 °C), ATEX/IECEx Zone 2",333300
LaserGas II Single Path,CO ppm,106555 LaserGas II CO ppm SP HT ATEX/IECEx Ex-p,106555,LaserGas II CO ppm SP HT ATEX/IECEx Ex-p,"High temp appl. (T>700 °C), ATEX/IECEx Zone 1",336600
LaserGas II Single Path,CO ppm,106348 LaserGas II CO ppm SP HT CSA GP,106348,LaserGas II CO ppm SP HT CSA GP,"High temp appl. (T>700 °C), General purpose non-hazloc",322300
LaserGas II Single Path,CO ppm,108364 LaserGas II CO ppm SP HT CSA Class I Div 2,108364,LaserGas II CO ppm SP HT CSA Class I Div 2,"High temp appl. (T>700 °C), Class I/Div 2",333300
LaserGas II Single Path,CO+CH4,106106 LaserGas II CO ppm + CH4 SP,106106,LaserGas II CO ppm + CH4 SP,,322300
LaserGas II Single Path,CO+CH4,106758 LaserGas II CO ppm + CH4 SP ATEX/IECEx Ex-n,106758,LaserGas II CO ppm + CH4 SP ATEX/IECEx Ex-n,ATEX/IECEx Zone 2,336600
LaserGas II Single Path,CO+CH4,106757 LaserGas II CO ppm + CH4 SP ATEX/IECEx Ex-p,106757,LaserGas II CO ppm + CH4 SP ATEX/IECEx Ex-p,ATEX/IECEx Zone 1,338800
LaserGas II Single Path,CO+CH4,106645 LaserGas II CO ppm + CH4 SP CSA GP,106645,LaserGas II CO ppm + CH4 SP CSA GP,General purpose non-hazloc,325600
LaserGas II Single Path,CO+CH4,106751 LaserGas II CO ppm + CH4 SP CSA Class I div 2,106751,LaserGas II CO ppm + CH4 SP CSA Class I div 2,Class I/Div 2,336600
LaserGas II Single Path,CO+CH4,106105 LaserGas II CO ppm + CH4 SP HT,106105,LaserGas II CO ppm + CH4 SP HT,High temp appl. (T>700 °C),358600
LaserGas II Single Path,CO+CH4,108365 LaserGas II CO ppm + CH4 SP HT ATEX/IECEx Ex-n,108365,LaserGas II CO ppm + CH4 SP HT ATEX/IECEx Ex-n,"High temp appl. (T>700 °C), ATEX/IECEx Zone 2",372900
LaserGas II Single Path,CO+CH4,108366 LaserGas II CO ppm + CH4 SP HT ATEX/IECEx Ex-p,108366,LaserGas II CO ppm + CH4 SP HT ATEX/IECEx Ex-p,"High temp appl. (T>700 °C), ATEX/IECEx Zone 1",375100
LaserGas II Single Path,CO+CH4,106646 LaserGas II CO ppm + CH4 SP HT CSA GP,106646,LaserGas II CO ppm + CH4 SP HT CSA GP,"High temp appl. (T>700 °C), General purpose non-hazloc",361900
